studyYear,programDbId,programName,programDescription,studyDbId,studyName,studyDescription,studyDesign,plotWidth,plotLength,fieldSize,fieldTrialIsPlannedToBeGenotyped,fieldTrialIsPlannedToCross,plantingDate,harvestDate,locationDbId,locationName,germplasmDbId,germplasmName,germplasmSynonyms,observationLevel,observationUnitDbId,observationUnitName,replicate,blockNumber,plotNumber,rowNumber,colNumber,entryType,plantNumber,Grain yield - kg/ha|CO_321:0001218,Heading time - Julian date (JD)|CO_321:0001233,Plant height - cm|CO_321:0001301,notes
2009,327,Cornell University,Mark Sorrells,6543,CornellMaster_2009_McGowan,"Cornell Master, , In each location and for each trait, a mixed model analysis was carried out using ASreml-R. genotype were treated as random. Adjustment for local trend were tested as well as a wide set of residual spatial covariance. The best model was",Augmented,,,,no,no,2008-September-22,,32,"Ithaca, NY - McGowan",224002,ARROW,"Arrow,ARROW-27",plot,1096543,CornellMaster_2009_McGowan_ARROW_35,1,1,1035,,,test,,4004.83197,,132.8763743,
2009,327,Cornell University,Mark Sorrells,6543,CornellMaster_2009_McGowan,"Cornell Master, , In each location and for each trait, a mixed model analysis was carried out using ASreml-R. genotype were treated as random. Adjustment for local trend were tested as well as a wide set of residual spatial covariance. The best model was",Augmented,,,,no,no,2008-September-22,,32,"Ithaca, NY - McGowan",226190,AVON,AVON-26,plot,1096767,CornellMaster_2009_McGowan_AVON_34,1,1,1034,,,test,,2592.162342,,133.7522182,
2009,327,Cornell University,Mark Sorrells,6543,CornellMaster_2009_McGowan,"Cornell Master, , In each location and for each trait, a mixed model analysis was carried out using ASreml-R. genotype were treated as random. Adjustment for local trend were tested as well as a wide set of residual spatial covariance. The best model was",Augmented,,,,no,no,2008-September-22,,32,"Ithaca, NY - McGowan",238910,BATAVIA,"Batavia,BATAVIA-36",plot,1096675,CornellMaster_2009_McGowan_BATAVIA_40,1,1,1040,,,test,,5277.850829,,119.1740732,
2009,327,Cornell University,Mark Sorrells,6543,CornellMaster_2009_McGowan,"Cornell Master, , In each location and for each trait, a mixed model analysis was carried out using ASreml-R. genotype were treated as random. Adjustment for local trend were tested as well as a wide set of residual spatial covariance. The best model was",Augmented,,,,no,no,2008-September-22,,32,"Ithaca, NY - McGowan",235605,BRIDGEPORT-270,BRIDGEPORT,plot,1096690,CornellMaster_2009_McGowan_BRIDGEPORT-270_272,1,1,1272,,,test,,5894.880883,,102.048043,
2009,327,Cornell University,Mark Sorrells,6543,CornellMaster_2009_McGowan,"Cornell Master, , In each location and for each trait, a mixed model analysis was carried out using ASreml-R. genotype were treated as random. Adjustment for local trend were tested as well as a wide set of residual spatial covariance. The best model was",Augmented,,,,no,no,2008-September-22,,32,"Ithaca, NY - McGowan",223212,CAL4PHS-6-271,,plot,1096709,CornellMaster_2009_McGowan_CAL4PHS-6-271_273,1,1,1273,,,test,,5435.57133,,95.364557,
2009,327,Cornell University,Mark Sorrells,6543,CornellMaster_2009_McGowan,"Cornell Master, , In each location and for each trait, a mixed model analysis was carried out using ASreml-R. genotype were treated as random. Adjustment for local trend were tested as well as a wide set of residual spatial covariance. The best model was",Augmented,,,,no,no,2008-September-22,,32,"Ithaca, NY - McGowan",239336,CALEDONIA,"Caledonia,CUGS35,GENEVA_RESELECT",plot,1096533,CornellMaster_2009_McGowan_CALEDONIA_2,1,1,1002,,,check,,5745.917919,,102.4383487,
2009,327,Cornell University,Mark Sorrells,6543,CornellMaster_2009_McGowan,"Cornell Master, , In each location and for each trait, a mixed model analysis was carried out using ASreml-R. genotype were treated as random. Adjustment for local trend were tested as well as a wide set of residual spatial covariance. The best model was",Augmented,,,,no,no,2008-September-22,,32,"Ithaca, NY - McGowan",223263,CALEDONIA_RESELECT-L-263,,plot,1096558,CornellMaster_2009_McGowan_CALEDONIA_RESELECT-L-263_265,1,1,1265,,,check,,5364.57286,,118.6209799,
2009,327,Cornell University,Mark Sorrells,6543,CornellMaster_2009_McGowan,"Cornell Master, , In each location and for each trait, a mixed model analysis was carried out using ASreml-R. genotype were treated as random. Adjustment for local trend were tested as well as a wide set of residual spatial covariance. The best model was",Augmented,,,,no,no,2008-September-22,,32,"Ithaca, NY - McGowan",228481,CAYUGA,"Cayuga,CUGS37,NY262-37-422",plot,1096409,CornellMaster_2009_McGowan_CAYUGA_3,1,1,1003,,,test,,5208.741204,,130.3679756,
2009,327,Cornell University,Mark Sorrells,6543,CornellMaster_2009_McGowan,"Cornell Master, , In each location and for each trait, a mixed model analysis was carried out using ASreml-R. genotype were treated as random. Adjustment for local trend were tested as well as a wide set of residual spatial covariance. The best model was",Augmented,,,,no,no,2008-September-22,,32,"Ithaca, NY - McGowan",225452,CORNELL595,NY595b20-1-5,plot,1096636,CornellMaster_2009_McGowan_CORNELL595_8,1,1,1008,,,test,,3839.290206,,135.7191923,
2009,327,Cornell University,Mark Sorrells,6543,CornellMaster_2009_McGowan,"Cornell Master, , In each location and for each trait, a mixed model analysis was carried out using ASreml-R. genotype were treated as random. Adjustment for local trend were tested as well as a wide set of residual spatial covariance. The best model was",Augmented,,,,no,no,2008-September-22,,32,"Ithaca, NY - McGowan",219401,DAWSONGOLDENCHAFF,DAWSONGOLDENCHAFF-2,plot,1096550,CornellMaster_2009_McGowan_DAWSONGOLDENCHAFF_14,1,1,1014,,,test,,3721.2435,,141.0562708,
2009,327,Cornell University,Mark Sorrells,6543,CornellMaster_2009_McGowan,"Cornell Master, , In each location and for each trait, a mixed model analysis was carried out using ASreml-R. genotype were treated as random. Adjustment for local trend were tested as well as a wide set of residual spatial covariance. The best model was",Augmented,,,,no,no,2008-September-22,,32,"Ithaca, NY - McGowan",228017,E0028-268,,plot,1096436,CornellMaster_2009_McGowan_E0028-268_270,1,1,1270,,,test,,5654.817864,,104.8359787,
2009,327,Cornell University,Mark Sorrells,6543,CornellMaster_2009_McGowan,"Cornell Master, , In each location and for each trait, a mixed model analysis was carried out using ASreml-R. genotype were treated as random. Adjustment for local trend were tested as well as a wide set of residual spatial covariance. The best model was",Augmented,,,,no,no,2008-September-22,,32,"Ithaca, NY - McGowan",224059,FORWARD,"Forward,NY123-32,NY73116-4NY595b20-1-5NY123-32NY522-68NY5954-36",plot,1096531,CornellMaster_2009_McGowan_FORWARD_9,1,1,1009,,,test,,4043.410016,,139.8600888,
2009,327,Cornell University,Mark Sorrells,6543,CornellMaster_2009_McGowan,"Cornell Master, , In each location and for each trait, a mixed model analysis was carried out using ASreml-R. genotype were treated as random. Adjustment for local trend were tested as well as a wide set of residual spatial covariance. The best model was",Augmented,,,,no,no,2008-September-22,,32,"Ithaca, NY - McGowan",239653,FULCASTER4862,FULCASTER4862-3,plot,1096479,CornellMaster_2009_McGowan_FULCASTER4862_15,1,1,1015,,,test,,3378.249778,,146.3874981,
2009,327,Cornell University,Mark Sorrells,6543,CornellMaster_2009_McGowan,"Cornell Master, , In each location and for each trait, a mixed model analysis was carried out using ASreml-R. genotype were treated as random. Adjustment for local trend were tested as well as a wide set of residual spatial covariance. The best model was",Augmented,,,,no,no,2008-September-22,,32,"Ithaca, NY - McGowan",235651,GENESEE,Genesee,plot,1096482,CornellMaster_2009_McGowan_GENESEE_10,1,1,1010,,,test,,4479.716861,,144.1622165,
2009,327,Cornell University,Mark Sorrells,6543,CornellMaster_2009_McGowan,"Cornell Master, , In each location and for each trait, a mixed model analysis was carried out using ASreml-R. genotype were treated as random. Adjustment for local trend were tested as well as a wide set of residual spatial covariance. The best model was",Augmented,,,,no,no,2008-September-22,,32,"Ithaca, NY - McGowan",224798,GENESEE_GIANT,"EarlyGeneseeGiant,GeneseeGiant,GENESEE-GIANT,GENESEEGIANT,GENESEE_GIANT-4,PedigreeEarlyGeneseeGiant",plot,1096505,CornellMaster_2009_McGowan_GENESEE_GIANT_16,1,1,1016,,,test,,3692.741584,,141.5178377,
